dimension,questionname,start_Mean,start_SD,end_Mean,end_SD,p-value,trend
自主性,对于我所做的事情，我有可以自己去自由选择的感觉,3.857142857142857,0.7052336473499384,4.142857142857143,0.8034317926884931,0.029714387495799275,"(*)显著 维持, 均值增大"
自主性,我觉得我所做的事情大多都是出于不得已才去做的,4.0,0.7200822998230956,3.642857142857143,1.0959280090672932,0.047792473661431426,(*)显著 维持
关联性,我觉得我在乎的人也在乎着我,4.0,0.769800358919501,4.142857142857143,0.890870806374748,0.32618890067972717,"维持, 均值增大"
关联性,我觉得被我想要融入的群体排挤,4.25,0.7993052538854533,4.535714285714286,0.50787450018337,0.029714387495799327,"(*)显著 增大, 均值增大"
能力,我有信心自己能把事情做好,3.7857142857142856,1.0312575156051293,4.071428571428571,0.8997354108424372,0.057774410179383014,"(-)轻微显著 维持, 均值增大"
能力,我怀疑自己是否真的能把事情做好,3.357142857142857,1.1930131697849873,3.392857142857143,1.1001442906807546,0.8514230472186675,"减小, 均值增大"
自主性,我感觉我的决定反映了我真正想要的,3.9285714285714284,0.8132500607904444,4.107142857142857,0.6852566815265061,0.20215688637179308,"维持, 均值增大"
自主性,我觉得我要被迫做很多我自己不会选择去做的事情,3.392857142857143,1.3148520748875057,3.5357142857142856,1.1379690439434391,0.5026888866780579,"增大, 均值增大"
关联性,对在乎我和我在乎的人，我觉得我和他们的心是连着的,3.8214285714285716,0.9833266074561479,4.142857142857143,0.8482786803738025,0.04745069331046539,"(*)显著 维持, 均值增大"
关联性,对我来说重要的人，我却感到他们对我冷漠，让我有距离感,4.035714285714286,0.9993384054849732,4.178571428571429,0.9833266074561477,0.4241736420821174,"增大, 均值增大"
能力,我觉得自己做事能力挺强的,3.7142857142857144,0.9759000729485333,3.857142857142857,0.9315175080076958,0.29325986296522294,"维持, 均值增大"
能力,我对自己的许多表现感到失望,3.75,1.1426091000668408,3.5,1.1055415967851334,0.16545103430391894,减小
自主性,我感觉我所做的选择表达了我真实的自己,3.75,0.927960727138337,3.8214285714285716,0.9833266074561479,0.625861082442966,"维持, 均值增大"
自主性,我做了太多感觉有压力才去做的事,3.2857142857142856,1.1501092655705905,3.357142857142857,1.1930131697849873,0.7690717158092564,"维持, 均值增大"
关联性,那些对我来说重要的人，我觉得和他们有一种亲近感,4.071428571428571,0.7663560447348137,4.0,1.0540925533894598,0.7023554548387738,维持
关联性,我感觉和我经常相处在一起的人讨厌我,4.571428571428571,0.7417981870189161,4.392857142857143,0.7373267889143821,0.23175397672002498,维持
能力,我觉得我有能力去达成自己的目标,3.892857142857143,0.9560445408144769,3.9285714285714284,0.9399988742535194,0.7454579785484516,"维持, 均值增大"
能力,我对自己的能力缺乏信心没有安全感,3.357142857142857,1.311326320782405,3.392857142857143,1.3427248612094935,0.8456621106150154,"维持, 均值增大"
自主性,我感觉我一直在做自己真正感兴趣的事情,3.357142857142857,1.161553420728616,3.642857142857143,1.0959280090672932,0.22325916299710558,"增大, 均值增大"
自主性,我觉得我的日常活动像一串我不得不去完成的任务,3.607142857142857,1.1655323283657166,3.392857142857143,1.2863754913562,0.4702292882809165,减小
关联性,我和经常相处的人在一起时，能感受到温暖的感觉,3.857142857142857,1.0079052613579393,4.071428571428571,0.8132500607904444,0.28124667661310576,"维持, 均值增大"
关联性,我感觉自己和别人的交往都只是很表面的,3.107142857142857,1.1655323283657164,3.642857142857143,1.311326320782405,0.02577346066532238,"(*)显著 增大, 均值增大"
能力,我感到我能成功完成有难度的任务,3.5714285714285716,1.168366109179552,3.7142857142857144,1.0837911120705754,0.44279119248126353,"维持, 均值增大"
能力,我犯下的一些错误让我觉得自己挺失败的,3.2142857142857144,0.994694922786876,3.4285714285714284,1.2301331282538137,0.2270144963159601,"维持, 均值增大"
